Date,Symbol,Contract Name,Price,,,
01/01/1997,NFH97,ICE UK Natural Gas March 1997 Futures,10.12,,,
01/02/1997,NFJ97,ICE UK Natural Gas April 1997 Futures,10,,,
01/03/1997,NFK97,ICE UK Natural Gas May 1997 Futures,10.6,,,
01/04/1997,NFM97,ICE UK Natural Gas June 1997 Futures,10.625,,,
01/05/1997,NFN97,ICE UK Natural Gas July 1997 Futures,9.3,,,
01/06/1997,NFQ97,ICE UK Natural Gas August 1997 Futures,9.485,,,
01/07/1997,NFU97,ICE UK Natural Gas September 1997 Futures,9.1,,,
01/08/1997,NFV97,ICE UK Natural Gas October 1997 Futures,10.95,,,
01/09/1997,NFX97,ICE UK Natural Gas November 1997 Futures,14.9,,,
01/10/1997,NFZ97,ICE UK Natural Gas December 1997 Futures,13.8,,,
01/11/1997,NFF98,ICE UK Natural Gas January 1998 Futures,16.25,,,
01/12/1997,NFG98,ICE UK Natural Gas February 1998 Futures,14.11,,,
01/01/1998,NFH98,ICE UK Natural Gas March 1998 Futures,9.6,,,
01/02/1998,NFJ98,ICE UK Natural Gas April 1998 Futures,8.55,,,
01/03/1998,NFK98,ICE UK Natural Gas May 1998 Futures,9.38,,,
01/04/1998,NFM98,ICE UK Natural Gas June 1998 Futures,9.09,,,
01/05/1998,NFN98,ICE UK Natural Gas July 1998 Futures,9.45,,,
01/06/1998,NFQ98,ICE UK Natural Gas August 1998 Futures,10.72,,,
01/07/1998,NFU98,ICE UK Natural Gas September 1998 Futures,11.93,,,
01/08/1998,NFV98,ICE UK Natural Gas October 1998 Futures,12.56,,,
01/09/1998,NFX98,ICE UK Natural Gas November 1998 Futures,13.49,,,
01/10/1998,NFZ98,ICE UK Natural Gas December 1998 Futures,14.34,,,
01/11/1998,NFF99,ICE UK Natural Gas January 1999 Futures,11.94,,,
01/12/1998,NFG99,ICE UK Natural Gas February 1999 Futures,9.38,,,
01/01/1999,NFH99,ICE UK Natural Gas March 1999 Futures,9.45,,,
01/02/1999,NFJ99,ICE UK Natural Gas April 1999 Futures,9.74,,,
01/03/1999,NFK99,ICE UK Natural Gas May 1999 Futures,9.3,,,
01/04/1999,NFM99,ICE UK Natural Gas June 1999 Futures,9.18,,,
01/05/1999,NFN99,ICE UK Natural Gas July 1999 Futures,9.8,,,
01/06/1999,NFQ99,ICE UK Natural Gas August 1999 Futures,9.09,,,
01/07/1999,NFU99,ICE UK Natural Gas September 1999 Futures,9.15,,,
01/08/1999,NFV99,ICE UK Natural Gas October 1999 Futures,10.17,,,
01/09/1999,NFX99,ICE UK Natural Gas November 1999 Futures,10.57,,,
01/10/1999,NFZ99,ICE UK Natural Gas December 1999 Futures,10.09,,,
01/11/1999,NFF00,ICE UK Natural Gas January 2000 Futures,12.64,,,
01/12/1999,NFG00,ICE UK Natural Gas February 2000 Futures,13.98,,,
01/01/2000,NFH00,ICE UK Natural Gas March 2000 Futures,13.9,,,
01/02/2000,NFJ00,ICE UK Natural Gas April 2000 Futures,13.1,,,
01/03/2000,NFK00,ICE UK Natural Gas May 2000 Futures,14.83,,,
01/04/2000,NFM00,ICE UK Natural Gas June 2000 Futures,23.78,,,
01/05/2000,NFN00,ICE UK Natural Gas July 2000 Futures,15.91,,,
01/06/2000,NFQ00,ICE UK Natural Gas August 2000 Futures,16.85,,,
01/07/2000,NFU00,ICE UK Natural Gas September 2000 Futures,16.01,,,
01/08/2000,NFV00,ICE UK Natural Gas October 2000 Futures,23,,,
01/09/2000,NFX00,ICE UK Natural Gas November 2000 Futures,25.05,,,
01/10/2000,NFZ00,ICE UK Natural Gas December 2000 Futures,28.81,,,
01/11/2000,NFF01,ICE UK Natural Gas January 2001 Futures,28.49,,,
01/12/2000,NFG01,ICE UK Natural Gas February 2001 Futures,27.62,,,
01/01/2001,NFH01,ICE UK Natural Gas March 2001 Futures,25.27,,,
01/02/2001,NFJ01,ICE UK Natural Gas April 2001 Futures,22.79,,,
01/03/2001,NFK01,ICE UK Natural Gas May 2001 Futures,22.8,,,
01/04/2001,NFM01,ICE UK Natural Gas June 2001 Futures,20.54,,,
