,Date,Symbol,Contract Name,Price,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,1997-01-01,NFH97,ICE UK Natural Gas March 1997 Futures,10.12,,,
1,1997-01-02,NFJ97,ICE UK Natural Gas April 1997 Futures,10.0,,,
2,1997-01-03,NFK97,ICE UK Natural Gas May 1997 Futures,10.6,,,
3,1997-01-04,NFM97,ICE UK Natural Gas June 1997 Futures,10.625,,,
4,1997-01-05,NFN97,ICE UK Natural Gas July 1997 Futures,9.3,,,
5,1997-01-06,NFQ97,ICE UK Natural Gas August 1997 Futures,9.485,,,
6,1997-01-07,NFU97,ICE UK Natural Gas September 1997 Futures,9.1,,,
7,1997-01-08,NFV97,ICE UK Natural Gas October 1997 Futures,10.95,,,
8,1997-01-09,NFX97,ICE UK Natural Gas November 1997 Futures,14.9,,,
9,1997-01-10,NFZ97,ICE UK Natural Gas December 1997 Futures,13.8,,,
10,1997-01-11,NFF98,ICE UK Natural Gas January 1998 Futures,16.25,,,
11,1997-01-12,NFG98,ICE UK Natural Gas February 1998 Futures,14.11,,,
12,1998-01-01,NFH98,ICE UK Natural Gas March 1998 Futures,9.6,,,
13,1998-01-02,NFJ98,ICE UK Natural Gas April 1998 Futures,8.55,,,
14,1998-01-03,NFK98,ICE UK Natural Gas May 1998 Futures,9.38,,,
15,1998-01-04,NFM98,ICE UK Natural Gas June 1998 Futures,9.09,,,
16,1998-01-05,NFN98,ICE UK Natural Gas July 1998 Futures,9.45,,,
17,1998-01-06,NFQ98,ICE UK Natural Gas August 1998 Futures,10.72,,,
18,1998-01-07,NFU98,ICE UK Natural Gas September 1998 Futures,11.93,,,
19,1998-01-08,NFV98,ICE UK Natural Gas October 1998 Futures,12.56,,,
20,1998-01-09,NFX98,ICE UK Natural Gas November 1998 Futures,13.49,,,
21,1998-01-10,NFZ98,ICE UK Natural Gas December 1998 Futures,14.34,,,
22,1998-01-11,NFF99,ICE UK Natural Gas January 1999 Futures,11.94,,,
23,1998-01-12,NFG99,ICE UK Natural Gas February 1999 Futures,9.38,,,
24,1999-01-01,NFH99,ICE UK Natural Gas March 1999 Futures,9.45,,,
25,1999-01-02,NFJ99,ICE UK Natural Gas April 1999 Futures,9.74,,,
26,1999-01-03,NFK99,ICE UK Natural Gas May 1999 Futures,9.3,,,
27,1999-01-04,NFM99,ICE UK Natural Gas June 1999 Futures,9.18,,,
28,1999-01-05,NFN99,ICE UK Natural Gas July 1999 Futures,9.8,,,
29,1999-01-06,NFQ99,ICE UK Natural Gas August 1999 Futures,9.09,,,
30,1999-01-07,NFU99,ICE UK Natural Gas September 1999 Futures,9.15,,,
31,1999-01-08,NFV99,ICE UK Natural Gas October 1999 Futures,10.17,,,
32,1999-01-09,NFX99,ICE UK Natural Gas November 1999 Futures,10.57,,,
33,1999-01-10,NFZ99,ICE UK Natural Gas December 1999 Futures,10.09,,,
34,1999-01-11,NFF00,ICE UK Natural Gas January 2000 Futures,12.64,,,
35,1999-01-12,NFG00,ICE UK Natural Gas February 2000 Futures,13.98,,,
36,2000-01-01,NFH00,ICE UK Natural Gas March 2000 Futures,13.9,,,
37,2000-01-02,NFJ00,ICE UK Natural Gas April 2000 Futures,13.1,,,
38,2000-01-03,NFK00,ICE UK Natural Gas May 2000 Futures,14.83,,,
39,2000-01-04,NFM00,ICE UK Natural Gas June 2000 Futures,23.78,,,
40,2000-01-05,NFN00,ICE UK Natural Gas July 2000 Futures,15.91,,,
41,2000-01-06,NFQ00,ICE UK Natural Gas August 2000 Futures,16.85,,,
42,2000-01-07,NFU00,ICE UK Natural Gas September 2000 Futures,16.01,,,
43,2000-01-08,NFV00,ICE UK Natural Gas October 2000 Futures,23.0,,,
44,2000-01-09,NFX00,ICE UK Natural Gas November 2000 Futures,25.05,,,
45,2000-01-10,NFZ00,ICE UK Natural Gas December 2000 Futures,28.81,,,
46,2000-01-11,NFF01,ICE UK Natural Gas January 2001 Futures,28.49,,,
47,2000-01-12,NFG01,ICE UK Natural Gas February 2001 Futures,27.62,,,
48,2001-01-01,NFH01,ICE UK Natural Gas March 2001 Futures,25.27,,,
49,2001-01-02,NFJ01,ICE UK Natural Gas April 2001 Futures,22.79,,,
50,2001-01-03,NFK01,ICE UK Natural Gas May 2001 Futures,22.8,,,
51,2001-01-04,NFM01,ICE UK Natural Gas June 2001 Futures,20.54,,,
52,2001-01-05,NFN01,ICE UK Natural Gas July 2001 Futures,16.53,,,
53,2001-01-06,NFQ01,ICE UK Natural Gas August 2001 Futures,17.8,,,
54,2001-01-07,NFU01,ICE UK Natural Gas September 2001 Futures,16.82,,,
55,2001-01-08,NFV01,ICE UK Natural Gas October 2001 Futures,19.63,,,
56,2001-01-09,NFX01,ICE UK Natural Gas November 2001 Futures,19.35,,,
57,2001-01-10,NFZ01,ICE UK Natural Gas December 2001 Futures,24.93,,,
58,2001-01-11,NFF02,ICE UK Natural Gas January 2002 Futures,27.04,,,
59,2001-01-12,NFG02,ICE UK Natural Gas February 2002 Futures,20.61,,,
60,2002-01-01,NFH02,ICE UK Natural Gas March 2002 Futures,16.52,,,
61,2002-01-02,NFJ02,ICE UK Natural Gas April 2002 Futures,14.2,,,
62,2002-01-03,NFK02,ICE UK Natural Gas May 2002 Futures,12.96,,,
63,2002-01-04,NFM02,ICE UK Natural Gas June 2002 Futures,11.86,,,
64,2002-01-05,NFN02,ICE UK Natural Gas July 2002 Futures,12.38,,,
65,2002-01-06,NFQ02,ICE UK Natural Gas August 2002 Futures,12.41,,,
66,2002-01-07,NFU02,ICE UK Natural Gas September 2002 Futures,12.22,,,
67,2002-01-08,NFV02,ICE UK Natural Gas October 2002 Futures,16.98,,,
68,2002-01-09,NFX02,ICE UK Natural Gas November 2002 Futures,21.35,,,
69,2002-01-10,NFZ02,ICE UK Natural Gas December 2002 Futures,20.87,,,
70,2002-01-11,NFF03,ICE UK Natural Gas January 2003 Futures,21.51,,,
71,2002-01-12,NFG03,ICE UK Natural Gas February 2003 Futures,19.08,,,
72,2003-01-01,NFH03,ICE UK Natural Gas March 2003 Futures,17.36,,,
73,2003-01-02,NFJ03,ICE UK Natural Gas April 2003 Futures,16.9,,,
74,2003-01-03,NFK03,ICE UK Natural Gas May 2003 Futures,15.8,,,
75,2003-01-04,NFM03,ICE UK Natural Gas June 2003 Futures,16.06,,,
76,2003-01-05,NFN03,ICE UK Natural Gas July 2003 Futures,16.92,,,
77,2003-01-06,NFQ03,ICE UK Natural Gas August 2003 Futures,16.18,,,
78,2003-01-07,NFU03,ICE UK Natural Gas September 2003 Futures,13.46,,,
79,2003-01-08,NFV03,ICE UK Natural Gas October 2003 Futures,19.02,,,
